,City,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
432,Luganville,VU,-15.51,167.18,84.2,74,40,2.24
433,Pahrump,US,36.21,-115.98,45.79,27,96,1.99
434,Vostok,RU,46.45,135.83,-9.22,97,79,5.39
435,Camaguey,CU,21.38,-77.92,80.6,78,40,11.41
436,Comodoro Rivadavia,AR,-45.87,-67.48,80.6,34,100,18.34
437,Gigmoto,PH,13.78,124.39,80.92,80,100,21.47
438,Saint-Augustin,CA,45.63,-73.98,26.4,92,90,6.93
439,Batagay,RU,67.65,134.64,-35.91,99,8,0.49
440,Lodwar,KE,3.12,35.6,84.13,44,0,13.15
441,Paramonga,PE,-10.68,-77.82,65.26,89,69,6.02
442,Sibolga,ID,1.74,98.78,70.86,93,100,2.98
443,Quiruvilca,PE,-7.37,-78.8,57.2,93,75,3.36
444,Naze,NG,5.43,7.07,80.6,88,23,4.7
445,Corning,US,42.14,-77.05,27.99,92,90,13.87
446,Zabaykalsk,CN,49.64,117.33,-1.7,93,64,5.59
447,Kruisfontein,ZA,-34.0,24.73,61.56,67,51,8.14
448,Harwich,US,41.69,-70.08,39.99,93,90,16.11
449,Biloela,AU,-24.4,150.51,83.01,38,0,14.18
450,Sangueya,GN,10.7,-14.37,76.84,83,100,2.86
451,Conceicao da Barra,BR,-18.59,-39.73,79.61,82,0,19.37
452,Rio Gallegos,AR,-51.62,-69.22,59.0,67,75,8.05
453,Manono,CD,-7.3,27.4,68.4,87,83,2.21
454,Kahului,US,20.89,-156.47,78.31,65,40,16.11
455,Coquimbo,CL,-29.95,-71.34,71.96,77,20,12.75
456,Baykalsk,RU,51.52,104.15,4.46,71,99,4.61
457,Roald,NO,62.58,6.12,36.57,93,75,6.93
458,Riyadh,SA,24.63,46.72,53.6,71,65,6.93
459,Dalmatovo,RU,56.26,62.94,14.11,95,100,10.25
460,Nuuk,GL,64.17,-51.74,30.09,46,20,14.99
461,Makakilo City,US,21.35,-158.09,81.28,65,1,20.8
462,Plettenberg Bay,ZA,-34.05,23.37,64.72,69,100,4.05
463,Nakamura,JP,35.17,136.87,54.23,93,75,3.36
464,Ajdabiya,LY,30.75,20.22,58.68,60,57,14.97
465,Araouane,ML,18.9,-3.53,66.72,18,33,12.03
466,Shizunai,JP,42.33,142.37,34.03,77,86,8.01
467,Dong Hoi,VN,17.48,106.6,70.57,95,42,2.98
468,Chapais,CA,49.78,-74.86,-5.8,83,1,4.7
469,San Patricio,PY,-26.98,-56.83,72.14,56,0,6.29
470,Tenkodogo,BF,11.78,-0.37,75.92,13,91,9.35
471,San Carlos de Bariloche,AR,-41.13,-71.31,66.2,45,75,27.51
472,Bhadra,IN,29.1,75.17,53.67,53,0,3.4
473,Tual,ID,-5.67,132.75,84.49,70,42,6.82
474,Burns Lake,CA,54.23,-125.76,30.04,89,95,3.51
475,Vigrestad,NO,58.57,5.7,39.87,86,75,4.7
476,Samana,EC,0.12,-76.97,84.2,70,40,2.24
477,Gornyy,RU,51.76,48.54,32.09,98,100,10.18
478,Brownsville,US,25.91,-97.49,57.07,26,75,16.11
479,Tansen,NP,27.87,83.55,43.63,74,0,3.27
480,Pucallpa,PE,-8.38,-74.54,35.6,100,40,9.17
481,Russell,US,38.9,-98.86,41.22,44,1,12.75
482,Westport,US,41.14,-73.36,32.34,86,90,10.29
483,Hongjiang,CN,27.21,109.83,42.31,88,85,4.97
484,Jumla,NP,29.28,82.18,22.6,34,0,5.7
485,Ossora,RU,59.24,163.07,3.97,81,0,5.19
486,Teseney,ER,15.11,36.66,65.53,76,25,8.12
487,Zaysan,KZ,47.47,84.87,1.71,86,0,0.81
488,Dwarka,IN,28.58,77.04,54.55,100,40,3.36
489,Caraballeda,VE,10.61,-66.85,82.4,78,7,14.99
490,Sabang,PH,13.8,121.11,78.01,87,86,5.01
491,Bilibino,RU,68.06,166.44,-17.09,98,100,2.71
492,Le Mars,US,42.79,-96.17,28.62,68,1,4.7
493,Bloemfontein,ZA,-29.12,26.22,75.2,38,33,16.11
494,Lavrentiya,RU,65.58,-170.99,19.74,81,51,10.07
495,Reconquista,AR,-29.14,-59.64,74.48,49,0,9.55
496,Pacific Grove,US,36.62,-121.92,57.79,38,1,3.36
497,Gallup,US,35.53,-108.74,32.49,15,1,10.29
498,Pemberton,AU,-34.44,116.03,63.0,85,93,6.46
499,Wanning,AT,48.64,13.53,36.72,100,75,1.12
500,Elizabeth City,US,36.3,-76.22,63.73,88,90,11.41
501,Nemuro,JP,43.32,145.57,38.84,83,100,16.6
502,Karratha,AU,-20.74,116.85,84.18,61,4,10.67
503,Kungurtug,RU,50.6,97.53,-7.78,98,100,1.25
504,Kieta,PG,-6.22,155.63,83.79,70,40,4.9
505,Balakhninskiy,RU,58.01,114.28,-11.29,99,100,0.87
506,Akdagmadeni,TR,39.66,35.88,32.13,42,0,1.34
507,Jiwani,PK,25.05,61.74,73.29,60,1,2.48
508,Pangnirtung,CA,66.15,-65.72,21.2,48,90,2.24
509,Clarence Town,AU,-32.59,151.78,73.11,64,0,6.93
510,Kalianget,ID,-7.35,109.91,79.0,95,99,1.54
511,Nong Bua,TH,15.87,100.58,75.0,65,18,1.68
512,Sittingbourne,GB,51.34,0.73,41.81,100,75,6.93
513,Freeport,BS,26.54,-78.7,77.81,84,8,16.35
514,Manokwari,ID,-0.87,134.08,78.98,74,100,5.03
515,Loreto,PY,-23.27,-57.32,73.29,77,1,3.76
516,Chitradurga,IN,14.23,76.4,62.85,91,23,6.42
517,Sai Buri,TH,6.7,101.62,73.4,99,100,2.46
518,Genhe,CN,50.78,121.52,-20.45,98,9,2.39
519,Vammala,FI,61.34,22.91,34.34,100,90,5.82
520,Krutinka,RU,56.01,71.51,13.26,90,100,9.1
521,Bridlington,GB,54.08,-0.19,34.81,93,23,5.82
522,Nizwa,OM,22.93,57.53,60.42,81,1,0.87
523,Igarka,RU,67.47,86.57,0.46,96,100,12.95
524,Camacha,PT,33.08,-16.33,63.37,82,40,9.17
525,Bonavista,CA,48.65,-53.11,28.0,66,100,25.01
526,Pleasanton,US,37.66,-121.87,54.19,62,1,8.05
527,Kirakira,SB,-10.46,161.92,84.31,71,55,8.57
528,Mangrol,IN,25.33,76.51,47.64,58,16,2.21
529,Innisfail,AU,-17.52,146.03,83.95,60,64,7.96
530,Seoul,KR,37.57,126.98,31.82,80,90,4.7
531,Wagar,US,31.44,-87.99,40.3,83,100,1.99
532,Lao Cai,VN,22.48,103.95,59.27,89,56,1.03
533,Tautira,PF,-17.73,-149.15,87.37,66,20,11.41
534,Khorixas,NA,-20.37,14.96,76.82,39,100,2.73
535,Anju,KP,39.62,125.66,23.2,54,0,10.92
536,Santa Vitoria do Palmar,BR,-33.52,-53.37,64.06,89,28,6.29
537,Havoysund,NO,71.0,24.66,29.28,81,75,4.7
538,Morondava,MG,-20.3,44.28,80.26,66,94,5.55
539,Macherla,IN,16.48,79.44,67.33,93,78,1.34
